,text_id,level,text
87,1_8_1,Ele,"Do you want your child to be good at sports, play for the school team and, maybe one day, even be in international competitions? Well, try to make sure that your child is born in November or October. A study has found that schoolchildren born in November or October are fitter than everyone else in their class. Children born in November or October were fitter, stronger and more powerful than children born in the other ten months of the year. They are especially fitter, stronger and more powerful than children with birthdays in April or June. Dr. Gavin Sandercock of Essex University found in his study that children born in the autumn had “a clear physical advantage” over their classmates."
88,1_8_2,Adv,"The research involved 8,550 boys and girls aged between ten and 16 from 26 state schools in Essex. All were tested between 2007 and 2010 on three different measures of fitness: stamina, handgrip strength and lower-body power. The results revealed that a child's month of birth could make “significant” differences to their levels of cardiovascular fitness, muscle strength and ability to accelerate, all of which predict how good someone is at sports, in which such attributes are vital. Performances at school sports days in the weeks ahead may bear out the findings. November-born children were the fittest overall as they had the most stamina and power and were the second strongest. Those born in October were almost as fit, scoring highest for strength and coming third for power, with December children close behind."
89,1_8_2,Ele,"The research involved 8,550 boys and girls aged between ten and 16 from 26 state schools in Essex. All were tested between 2007 and 2010 on three different things: stamina, handgrip strength and lower-body power. The results showed that a child's month of birth could make big differences to their levels of fitness, muscle strength and ability to accelerate, all of which predict how good someone is at sports. November children were the fittest because they had the most stamina and power and were the second strongest. Children born in October were almost as fit – they scored highest for strength and came third for power, with December children close behind."
90,1_8_3,Adv,"The gap in physical prowess between children in the same class but born in different months was sometimes very wide. “For example, we found that a boy born in November can run at least 10% faster, jump 12% higher and is 15% more powerful than a child of the same age born in April. This is, potentially, a huge physical advantage,” said Sandercock. Such gaps could ultimately decide who became a top-level athlete because, as the paper says, “selection into elite sports may often depend on very small margins or differences in an individual's physical performance”. The study, which has been published in the International Journal of Sports Medicine, found that, when scores for the three kinds of fitness were combined, those born in April were the least fit, then those in June. That could see those children excluded from school teams and becoming sporting underachievers, Sandercock said."
91,1_8_3,Ele,"The gap in physical ability between children in the same class but born in different months was sometimes very wide. “For example, we found that a boy born in November can run at least 10% faster, jump 12% higher and is 15% more powerful than a child of the same age born in April. This is a huge physical advantage,” said Sandercock. These gaps could decide who became a top-level top-level athlete because “selection into elite sports may often depend on very small differences in a person's physical performance”. The study found that, when scores for the three kinds of fitness were put together, children born in April were the least fit, followed by children born in June."
92,1_8_4,Adv,"The findings seem to show that children born in the early months of the school year enjoy a double “autumn advantage” – they are already known to have an academic advantage and, now, they also appear to be better equipped for sports, too. The authors believe that autumn-born children's greater exposure over the summer months, towards the end of pregnancy, to vitamin D is the most likely explanation. John Steele, chief executive of the Youth Sport Trust, said the quality of a young person's introduction to sports at school can be “a major factor” in their sporting development. “Children that get a high-quality first experience, which develops their physical literacy, are those that will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and excel in sports as they grow up”, he said."
93,1_8_4,Ele,"The findings seem to show that children born in the early months of the school year enjoy a double “autumn advantage” – we already know that they have an academic advantage and, now, they also seem to be better at sports, too. The authors of the study believe that the most likely explanation is that children born in autumn get more vitamin D over the summer months towards the end of pregnancy. John Steele, chief executive of the Youth Sport Trust, said the quality of a young person's introduction to sports at school can be “a major factor” in their sporting development. “Children that get a high-quality first experience will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and be good at sports as they grow up”, he said."
94,1_8_5,Adv,"UK Sport could not say if a disproportionately high number of the 1,300 athletes across 47 sports it funds were born in November and October. Natalie Dunman, its head of performance pathways, said that, while the differences highlighted in the new findings were borne out by teenagers competing in junior-level competitions, they had disappeared by the time athletes were taking part in adult competitions. She said: “Looking at elite, senior athletes, there are many factors that go into making a champion and our work hasn't uncovered anything to suggest that month of birth is one of the key ingredients.”"
95,1_8_5,Ele,"UK Sport could not say if a majority of the 1,300 athletes it gives money to were born in November and October. Natalie Dunman, its head of performance, said that the differences shown in the new study were true for teenagers in junior-level competitions, but that the differences disappear before athletes were in adult competitions. She said: “With adult athletes, there are many factors that make a champion and we don't think that month of birth is one of the key ingredients.”"
96,1_9_1,Adv,"Lots of us know we are sleep-deprived, but imagine if we could fix it with a fairly simple solution: getting up later. In a speech at the British Science Festival, Dr. Paul Kelley, clinical research associate at the Sleep and Circadian Neuroscience Institute at Oxford University, called for schools to stagger their starting times to work with the natural biological rhythms of their students. It would improve cognitive performance, exam results and students' health (sleep deprivation has been linked with diabetes, depression, obesity and an impaired immune system)."
97,1_9_1,Ele,"Many of us know we don't get enough sleep, but imagine if there was a simple solution: getting up later. In a speech at the British Science Festival, Dr. Paul Kelley from Oxford University said schools should stagger their starting times to work with the natural rhythms of their students. This would improve exam results and students' health (lack of sleep can cause diabetes, depression, obesity and other health problems)."
99,1_9_2,Adv,"It follows a paper, published in 2014, in which he noted that, when children are around ten, their biological wake-up time is about 6.30am; at 16, this rises to 8am; and, at 18, someone you may think of as a lazy teenager actually has a natural waking hour of 9am. The conventional school starting time works for 10-year-olds but not 16- to 18-year-olds. For the older teenagers, it might be more sensible to start the school day at 11am or even later. “A 7am alarm call for older adolescents,” Kelley and his colleagues pointed out in the paper, “is the equivalent of a 4.30am start for a teacher in their 50s.”"
98,1_9_2,Ele,"Dr. Kelley said that, when children are around ten, their natural wake-up time is about 6.30am; at 16, this rises to 8am; and, at 18, a person's natural waking hour is 9am, although you may think they are just a lazy teenager. The normal school starting time works for 10-year-olds but not for 16- to 18-year-olds. For the older teenagers, it might be better to start the school day at 11am or even later. “A 7am wake-up time for older teenagers,” says Kelley, “is the same as a 4.30am start for a teacher in their 50s.”"
101,1_9_3,Adv,"He says it's not as simple as persuading teenagers to go to bed earlier. “The body's natural rhythm is controlled by a particular kind of light,” says Kelley. “The eye doesn't just contain rods and cones; it contains cells that then report to the suprachiasmatic nuclei in the hypothalamus.” This part of the brain controls our circadian rhythms over a 24-hour cycle. It's like saying: ‘Why can't you control your heartbeat?'”"
100,1_9_3,Ele,"He says the solution is not to tell teenagers to go to bed earlier. “The body's natural rhythm is controlled by a particular kind of light,” says Kelley. “The eye has cells that report to a part of the brain that controls our sleep rhythms over a 24-hour cycle. It's like saying: ‘Why can't you control your heartbeat?'”"
102,1_9_4,Adv,"But it isn't just students who would benefit from a later start. Kelley says the working day should be more forgiving of our natural rhythms. Describing the average sleep loss per night for different age groups, he says: “Between 14 and 24, it's more than two hours. For people aged between 24 and about 30 or 35, it's about an hour and a half. That can continue up until you're about 55 when it's in balance again. The 10-year-old and 55-year-old wake and sleep naturally at the same time.”"
103,1_9_4,Ele,"But it isn't just students who would benefit from a later start. Kelley says the working day should be more linked to our natural rhythms. Describing the average sleep loss per night for different age groups, he says: “Between 14 and 24, people lose more than two hours. For people aged between 24 and about 30 or 35, they lose about an hour and a half. That can continue up until you're about 55 when it's in balance again. The 10-year-old and 55-year-old wake and sleep naturally at the same time.”"
104,1_9_5,Adv,"This might be why, he adds, the traditional nine to five is so ingrained; it is maintained by bosses, many of them in their mid-50s and upwards because “it is best for them”. So, should workplaces have staggered starting times, too? Should those in their 50s and above come in at 8am, while those in their 30s start at 10am and the teenage intern or apprentice be encouraged to turn up at 11am? Kelley says that synchronized hours could have “many positive consequences. The positive side of this is people's performance, mood and health will improve. It's very uplifting in a way because it's a solution that will make people less ill, and happier and better at what they do.”"
105,1_9_5,Ele,"So, should workplaces have staggered starting times, too? Should people in their 50s and above come in at 8am, people in their 30s start at 10am and the teenage apprentice at 11am? Kelley says that synchronized hours could have “many positive effects. The positive side is that people's performance, mood and health will improve. It's very positive because it's a solution that will make people less ill, and happier and better at what they do.”"
106,1_9_6,Adv,"There would probably be fewer accidents as drivers would be more alert, he says. It could spell the end of rush hour as people stagger their work and school-run times. A later start to the day for many, says Kelley, “is something that would benefit everyone, particularly families. Parents go and try to wake up teenagers who are waking up three hours too early. It creates tensions for everybody.” So, what time does Kelley start work? “I am 67 so that means I'm back to being ten years old and I get up just after six. I wake naturally.” And, yes, he says he finds the start of his working day much easier now than he did when he was younger."
107,1_9_6,Ele,"There would probably be fewer accidents because drivers would be more awake, he says. It could mean the end of rush hour because people would stagger their work times and the times of their school run. A later start to the day for many, says Kelley, “is something that would benefit all people, particularly families. Parents go and try to wake up teenagers who are waking up three hours too early. It creates problems for everybody.” So, what time does Kelley start work? “I am 67 so that means I'm like a 10-year-old and I get up just after six. I wake naturally.” And, yes, he says he finds the start of his working day much easier now than when he was younger."
108,2_10_1,Adv,"Crunchy, full of protein and to be found under a rock near you. Insects have long been overlooked as food in all but a handful of places around the world – but now they are crawling closer and closer to our plates. Spring 2013 will see a drive towards removing the yuck factor and putting insects not just on experimental gastronomic menus but also on supermarket shelves. In April, there will be a festival in London, Pestival 2013 – a Wellcome Trust-backed insect appreciation event where the consumption of creepy-crawlies comes high on the agenda. It will feature a two-day “pop-up” restaurant by the Nordic Food Lab, the Scandinavian team behind the Danish restaurant Noma, which brought ants to the table for a sellout ten-day run at Claridge's hotel in London in 2012."
109,2_10_1,Ele,"In the West, people do not usually eat insects. But in some parts of the world, insects are an important food and in spring 2013 there will be an effort to show people that eating insects is not disgusting. And we may soon be able to buy insects in supermarkets. In April, there will be a festival in London, Pestival 2013, where there will be a discussion about the question of eating insects. The festival will include a restaurant by the Nordic Food Lab, the Scandinavian team behind the Danish restaurant Noma, which brought extremely popular insect dishes to Claridge's hotel in London in 2012."
110,2_10_2,Adv,"In March, a BBC documentary will feature food writer Stefan Gates searching out and eating deep-fried deep-fried locusts and barbecued tarantulas. But, behind all the gimmicks and jokes about flies in the soup, there is a deeply serious message. Many experts believe there is a clear environmental benefit to humans eating creepy-crawlies. The UN's Food and Agriculture Organization (FAO) has been funding projects since 2011 aimed at promoting the eating and farming of insects in south-east Asia and Africa, where an estimated two billion people already eat insects and caterpillar larvae as a regular part of their diet. In 2012, the FAO published a list of 1,909 edible species of insect and, with sponsorship from the Dutch government, plans a major international conference on “this valuable food source” in 2013."
111,2_10_2,Ele,"In March, a BBC documentary will show a food writer eating deep-fried locusts and barbecued spiders. But, behind all the jokes there is a very serious message. Many experts believe that if humans eat insects, it will be very good for the environment. The UN's Food and Agriculture Organization (FAO) gives money to projects that show people they can eat and farm insects in south-east Asia and Africa. In these places about two billion people already eat insects and larvae as a normal part of their diet. In 2012, the FAO published a list of 1,909 edible species of insect and plans a major international conference on “this valuable food source” in 2013."
112,2_10_3,Adv,"Over the next 30 years, the planet's human population will increase to nine billion. Already one billion people do not get enough food. The increase will mean more pressure on agricultural land, water, forests, fisheries and biodiversity resources, as well as nutrients and energy supplies. The cost of meat is rising, not just in terms of hard cash but also in terms of the amount of rainforest that is destroyed for grazing or to grow feedstuff for cattle. There is also the issue of methane excreted by cows. The livestock farming contribution, in terms of greenhouse gas emissions, is enormous – 35% of the planet's methane, 65% of its nitrous oxide and 9% of the carbon dioxide."
113,2_10_3,Ele,"In the next 30 years, the planet's human population will increase to nine billion. Already one billion people do not get enough food. The increase will put more pressure on agricultural land, water, forests, fisheries and resources, and also food and energy supplies. The cost of meat is increasing – it costs more money now, but also people have to destroy a lot of rainforest to make fields or to grow food for cows. Cows also make methane. The farming of cows, pigs and sheep makes very large amounts of greenhouse gases – 35% of the planet's methane, 65% of its nitrous oxide and 9% of the carbon dioxide."
115,2_10_4,Adv,"Edible insects emit few gases, contain high-quality protein, vitamins and amino acids, and have a high food-conversion rate, needing a quarter of the food intake of sheep, and half of pigs and chickens, to produce the same amount of protein. They emit fewer greenhouse gases and less ammonia than cows and can be grown on organic waste. China is already successfully setting up huge maggot farms. Zimbabwe has a thriving mapone caterpillar industry and Laos was given nearly $500,000 by the FAO to develop an insect-harvesting project. It's already big business in the UK, though not always official: a man was recently detained by Gatwick customs as he stepped off a flight from Burkina Faso with 94 kilos of mapone, worth nearly £40,000, in his luggage. A study by FoodServiceWarehouse.com suggested that swapping pork and beef for crickets and locusts could help to reduce greenhouse gas emissions by as much as 95%."
114,2_10_4,Ele,"Edible insects make few gases, contain high-quality protein, vitamins and amino acids, and are good at converting food - they only need a quarter of the food that sheep need to make the same amount of protein. You can grow them on organic waste. China is already building huge maggot farms. Zimbabwe is growing caterpillars and Laos is developing an insect-harvesting project. One study says that eating crickets and locusts, and not eating pork and beef, could help to reduce greenhouse gas emissions by up to 95%."
116,2_1_1,Adv,"There are approximately 50,000 mystery shopping trips carried out every month in the UK, according to the Mystery Shopping Providers Association, and, because more and more spending takes place online, the demand for mystery shoppers is growing. Mystery shoppers pretend to be a customer in a store but they are really collecting information on how good or bad its service is. “Retailers are becoming increasingly aware that shoppers who are prepared to set foot in a physical store want a service and an experience they can't get online,” says Simon Boydell, spokesman for Marketforce, which has more than 300,000 mystery shoppers on its books. “Our clients want to measure how well their stores are delivering on that experience.”"
117,2_1_1,Ele,"There are about 50,000 mystery shopping trips every month in the UK, according to the Mystery Shopping Providers Association. Mystery shoppers pretend to be a customer in a store but they are really collecting information on how good or bad its service is. The demand for mystery shoppers is growing because online shopping is becoming more popular. “Retailers are becoming increasingly aware that shoppers who visit a physical store want a service and an experience they can't get online,” says Simon Boydell, spokesman for Marketforce, which has more than 300,000 mystery shoppers. “Our clients want to know how well their stores are delivering on that experience.”"
118,2_1_2,Adv,"“We assign different store locations to each shopper and rotate them so that they never go back to the same shop within three months,” says Jill Spencer of mystery shopping company ABa. “Each day, they typically spend up to eight hours visiting five to ten stores, plus another hour or two filing detailed reports on every aspect of their visit.” For that, the mystery shoppers can earn up to £155 a day. They are also reimbursed for their gasoline and hotel stays, and compensated for their car depreciation (the shoppers can be expected to drive as many as 20,000 miles a year). Meanwhile, video mystery shoppers, who film their visits with a hidden camera planted in a buttonhole or handbag, can earn even more – around £300 a day."
119,2_1_2,Ele,"“We assign different store locations to each shopper and rotate them so that they never go back to the same shop within three months,” says Jill Spencer of mystery shopping company ABa. “Each day, they spend up to eight hours visiting five to ten stores, plus another hour or two writing detailed reports on every part of their visit.” For that, the mystery shoppers can earn up to £155 a day. Their expenses are also paid. Mystery shoppers who film their visits with a hidden camera can earn even more – around £300 a day."
120,2_1_3,Adv,"Shoppers are usually repaid any money they spend in the stores. “I'm typically given between £5 and £20 to spend at each store, to assess the service I receive at the counter,” says Laura, a 50-year-old mystery shopper from Devon, who has been paid to visit around 7,000 shops since 2001. The purchase usually has to be related to a service or a type of product that the retailer wants her to check. “I'm always given a scenario, such as buying something from a specific department or a new product range, but, within that framework, I can often buy whatever I want – and keep it.”"
121,2_1_3,Ele,"Mystery shoppers are usually repaid any money they spend in the stores. ”They usually give me between £5 and £20 to spend at each store, to check the service I receive at the counter,” says mystery shopper Laura. “I'm always given a specific task, such as buying something from a specific department or a new product range, but within these limitations, I can often buy whatever I want – and keep it.”"
122,2_1_4,Adv,"Like most full-time mystery shoppers, Laura is self-employed, taking jobs from ABa and other mystery shopping companies as and when they come up. Her income is typically £30,000 to £40,000 a year and that doesn't include all the freebies she gets on the job. “With the perks, it's enough to live on. But I don't do it because I love shopping. In fact, I hate shopping now. When I'm not working, it pains me to have to go out and buy a pint of milk.” She does, however, find it satisfying to return to a store she has previously mystery shopped and see standards have improved. “I know it must be because of my feedback or why would they pay me to give it? Some of the retailers I shop at win awards for customer service and I think that is down to us mystery shoppers. I feel I'm not just doing a service to my company; I'm doing a service to all shoppers everywhere.”"
123,2_1_4,Ele,"Like most full-time mystery shoppers, Laura is self-employed. She earns around £30,000 to £40,000 a year and that doesn't include all the freebies she gets on the job. “With the perks, it's enough to live on.” She finds it satisfying to return to a store where she has previously been a mystery shopper and see standards have improved. “I know it must be because of my feedback or why would they pay me to give it? I feel I'm not just doing a service for my company; I'm doing a service for all shoppers everywhere.”"
125,2_1_5,Adv,"It's estimated that more than 500,000 people have registered as mystery shoppers in the UK, but just 10% or less manage to get regular work each month and this has led to a dramatic reduction in compensation. “Where once you got a fee, reimbursement for your purchase and mileage, you now often just receive a contribution towards a purchase,” says Val, a 51-year-old former mystery shopper. Nowadays, mystery shopping companies mostly rely on the promise of freebies to incentivize their workers. “Marketforce shoppers typically get a couple of pounds for a visit as a token gesture for their time and effort,” says Boydell. “At the most, we'll pay £15 to £25 plus reimbursement for expenses, such as a meal for two or a hotel stay. We don't directly employ any shoppers so we don't have to pay them the minimum wage.”"
124,2_1_5,Ele,"More than 500,000 people have registered as mystery shoppers in the UK, but just 10% or less get regular work each month. This has led to a dramatic reduction in payment. Before, people were paid and got travel expenses, but now “you often just receive some money towards a purchase,” says Val, a 51-year-old former mystery shopper. Nowadays, mystery shopping companies mostly give freebies as an incentive. “Marketforce shoppers usually get a couple of pounds for a visit, for their time and effort,” says Boydell. “At the most, we'll pay £15 to £25 plus expenses for a meal for two or a hotel stay, for example. We don't directly employ any shoppers so we don't have to pay them the minimum wage.”"
127,2_1_6,Adv,"Hannah, a 41-year-old City lawyer, has conducted nearly 500 visits for the Mystery Dining Company in her spare time without receiving remuneration or travel expenses. As a prestigious “platinum diner”, she is regularly hand-picked by the Mystery Dining Company to carry out their most exclusive assignments, enjoying £200 meals at Michelin-starred Mayfair restaurants and overnight stays at boutique hotels. But there's no such thing as a free lunch, even if you work for a mystery dining company. Hannah says she typically spends two to four hours after each visit writing detailed reports on everything from the quality of the food to specific interactions with staff, whom she always needs to be able to name or “subtly” describe. Trickiest of all, she must memorize all these details while eating her meal – unable, of course, to openly write anything down."
126,2_1_6,Ele,"Hannah, a 41-year-old lawyer, has made nearly 500 visits for the Mystery Dining Company in her spare time without receiving pay or travel expenses. She has enjoyed £200 meals at Michelin-starred restaurants and overnight stays at expensive hotels. But, it can be hard work. Hannah says she spends two to four hours after each visit writing detailed reports on everything from the quality of the food to specific conversations with staff. And, she always needs to be able to name or describe the staff. She has to memorize all these details while eating her meal because she cannot openly write anything down."
128,2_2_1,Adv,"Robert Myslajek stops dead. Between two paw prints on a muddy mountain track, the scientist finds what he is looking for. “Droppings!” he enthuses. Wolf sightings are so rare that the sighting of their feces marks a good day, even for a seasoned tracker. But it is getting easier. There are now an estimated 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are – along with the brown bear, the lynx and the wolverine – Europe's last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are beating a path here to find out how Poland has saved this protected species, slandered even in fairy tales."
129,2_2_1,Ele,"Robert Myslajek stops. Between two paw prints on a mountain path, the scientist finds what he is looking for. “Droppings!” he says happily. It is so rare to see a wolf that seeing droppings makes it a good day. But it is getting easier to see a wolf. There are now about 1,500 wolves in Poland. The number has doubled in 15 years. The wolf, the brown bear, the lynx and the wolverine are Europe's last large predator carnivores. Scientists from Britain, Germany and the Netherlands are coming here to find out how Poland has saved wolves who have a bad reputation even in fairy tales."
131,2_2_2,Adv,"The scientist, who is a familiar face on Polish television, says wolves are exceptional animals that are capable of moving up to 30km during a single hunt. “The Beskidy pack is a strong unit, eight or nine individuals. This year, we have recorded five cubs, two yearlings and two adults. We track them using motion-activated cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair reproduces, once a year. All pack members care for the young with solidarity and devotion.” Myslajek, the son of a shepherd, is puzzled by wolves' bad reputation. “Why does one speak of a 'lone-wolf gunman'? Why did we have to have Little Red Riding Hood, with its big bad wolf?” He is fascinated by these aloof canines who remained in the wild 33,000 years ago when others decided on a much more comfortable existence as domestic dogs."
130,2_2_2,Ele,"The scientist says wolves can move up to 30 kilometers during a single hunt. “The pack that he is tracking is a strong group of eight or nine animals. This year, we have recorded five cubs, two young wolves and two adults. We track them using special cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair of adults has cubs each year. All the wolves in the pack look after the young.” Myslajek, the son of a shepherd, doesn't understand wolves' bad reputation. “Why did we have to have the fairy tale Little Red Riding Hood, with its big bad wolf?” He is fascinated by these animals, who remained in the wild 33,000 years ago when other types of dog decided on a much more comfortable life as pets."
132,2_2_3,Adv,"Wolves are not pooches. Myslajek says only scientific arguments – the need to regenerate forests and control the wild animal population – can save Europe's wild carnivores, especially the unpopular wolf. “Natural predators balance the ecosystem. They keep herbivores in check, thus allowing trees to grow tall for birds to nest in.” The ban on wolf hunting in the western Carpathian mountains came into force in 1995 and nationwide in Poland in 1998. There are now resident packs in virtually all the country's major forests. The predators coexist with humans rather than being fenced off, as they are in African safari parks."
133,2_2_3,Ele,"Myslajek says only the need to save forests and control the wild animal population can save Europe's wild carnivores, especially the unpopular wolf. “Natural predators balance the ecosystem. They reduce the number of herbivores, which allows trees to grow tall for birds to nest in.” The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998. There are now wolf packs in nearly all the country's major forests where the wolves exist together with humans."
134,2_2_4,Adv,"The Polish government pays compensation for livestock killed by wolves. Myslajek advises farmers on erecting electric fences. He has helped revive the use of two deterrents that, for reasons no one quite understands, wolves find particularly scary: strings of small red flags (hung around sheep pens) and the bark of the fluffy white Tatra Mountain Sheepdog."
135,2_2_4,Ele,The Polish government pays compensation to farmers when a wolf kills their farm animals. Myslajek tells farmers to put up electric fences. He also tells them to use two things that wolves find scary: strings of small red flags (to keep wolves away from sheep) and the Tatra Mountain Sheepdog.
136,2_2_5,Adv,"The survival of Poland's wolves has been helped by the country's belated infrastructure development. In 1989, when the communists relinquished power, Poland had only one motorway. Major road projects – requiring wildlife impact studies – began after Poland joined the European Union in 2004. The country now has one of the highest densities in the world of overhead crossings and underpasses for wild animals. Attitudes have also changed. “For many years, hunting was cultural. In 1975, there were fewer than 100 wolves in Poland. Beginning in the 1950s, hunting wolves had been encouraged by the authorities. They paid a reward for killing a wolf worth a month's salary. It was carnage.” Myslajek says the improvement in Polish wolves' survival chances has been considerable but remains fragile. Packs are mobile across borders and hunting still goes on in neighboring Russia, Lithuania and Belarus."
137,2_2_5,Ele,"Poland didn't have many big roads until recently and this has helped wolves. In 1989, when the communists left power, Poland had only one motorway. Major road projects began after Poland joined the European Union in 2004 and they now have to consider wild animals. The way people think about wolves has also changed. “For many years, hunting was a part of the culture in Poland. In 1975, there were fewer than 100 wolves in Poland.” Myslajek says that Polish wolves are much safer now but they are not completely safe. Packs go into neighboring countries – Russia, Lithuania and Belarus – where there is still hunting."
139,2_2_6,Adv,"He claims Poland's new government, elected in October 2015, is hostile to wolves. “The Environment Minister, Jan Szyszko, makes no secret of being a hunter. There are 120,000 licensed hunters in Poland and they are influential in parliament. Being a wolf advocate is not easy. It is not as if you can argue to the politicians that wolves are a big tourist attraction. Most tourists want to see the animals but wolves stay away from humans. They have a tremendously sensitive sense of smell.”"
138,2_2_6,Ele,"He says Poland's new government doesn't like wolves. “The Environment Minister, Jan Szyszko, is a hunter. There are 120,000 hunters in Poland and they have a lot of influence. It's not easy to defend wolves. You can't say to the politicians that wolves are a big tourist attraction. Most tourists want to see the animals but wolves stay away from humans. They have a very strong sense of smell.”"
140,2_3_1,Adv,"Swedish prisons have long had a reputation around the world for being progressive. But are the country's prisons a soft option? The head of Sweden's prison and probation service, Nils Oberg, announced in November 2013 that four Swedish prisons are to be closed due to an “out of the ordinary” decline in prisoner numbers. Although there has been no fall in crime rates, between 2011 and 2012 there was a 6% drop in Sweden's prisoner population, now a little over 4,500. A similar decrease is expected in 2013 and 2014. Oberg admitted to being puzzled by the unexpected dip, but expressed optimism that the reason was to do with how his prisons are run. “We certainly hope that the efforts we invest in rehabilitation and preventing relapse of crime has had an impact,” he said."
141,2_3_1,Ele,"Swedish prisons have a reputation around the world for being liberal and modern. But are the country's prisons too soft? The head of Sweden's prison and probation service, Nils Oberg, said in November 2013 that four Swedish prisons will close because of an “out of the ordinary” drop in the number of prisoners. There has been no fall in crime rates, but, between 2011 and 2012, there was a 6% drop in the number of people in Sweden's prisons, now a little over 4,500. Oberg said he was confused by the drop in numbers, but hoped that the reason was to do with how his prisons are managed. “We certainly hope that the efforts we put into rehabilitation and into stopping criminals from reoffending has made a difference,” he said."
142,2_3_2,Adv,"“The modern prison service in Sweden is very different from when I joined as a young prison officer in 1978,” says Kenneth Gustafsson, governor of Kumla Prison, Sweden's most secure jail. However, he doesn't think the system has gone soft. “When I joined, the focus was very much on humanity in prisons. Prisoners were treated well – maybe too well, some might say. But, after a number of high-profile escapes in 2004, we had to implement changes to make prisons more secure.” The Swedes still managed to maintain a broadly humane approach to sentencing, even of the most serious offenders: jail terms rarely exceed ten years. Sweden was the first country in Europe to introduce the electronic tagging of convicted criminals and continues to strive to minimize short-term prison sentences wherever possible by using community-based punishments, which have been proven to be more effective at reducing reoffending."
143,2_3_2,Ele,"“The modern prison service in Sweden is very different from when I joined as a young prison officer in 1978,” says Kenneth Gustafsson, governor of Kumla Prison, Sweden's most secure jail. “When I joined, prisoners were treated well – maybe too well. But, after high profile escapes in 2004, we had to make the prisons more secure.” In Sweden, prison sentences are not usually for more than ten years. Sweden was the first country in Europe to introduce the electronic tagging of criminals and it continues to keep prison sentences short when possible by using community-based punishments. These have stopped many criminals from reoffending."
145,2_3_3,Adv,"The overall reoffending rate in Sweden stands at between 30 and 40% over three years – to compare that with another European country, the number is around half that of the UK. One likely reason for the relatively low reoffending rate and the low rate of incarceration in Sweden (below 70 per 100,000 head of population) is that the age of criminal responsibility is set at 15. In the UK, for example, children aged ten to 17 and young people under the age of 21 record the highest reoffending rates: almost three quarters and two thirds, respectively. A good proportion of these offenders go on to populate adult jails. In Sweden, no young person under the age of 21 can be sentenced to life – this is not the case in many other countries – and every effort is made to ensure that as few juvenile offenders as possible end up in prison."
144,2_3_3,Ele,"The reoffending rate in Sweden is between 30 and 40% – to compare that with another European country, the number is around half that of the UK. One thing that has kept reoffending down and the number of prisoners in Sweden below 70 per 100,000 people is that anyone under 15 cannot be responsible for their crime. Also, in Sweden, no young person under the age of 21 can be sentenced to life – this is not the same in many other countries – and they try to keep young offenders out of prison."
147,2_3_4,Adv,"One strong reason for the drop in prison numbers might be the amount of post-prison support available in Sweden. A confident probation service – a government agency – is tasked not only with supervising those on probation but is also guaranteed to provide treatment programs for offenders with drug, alcohol or violence issues. The service is assisted by around 4,500 lay supervisors – members of the public who volunteer to befriend and support offenders under supervision. “In Sweden, we believe very much in the concept of rehabilitation, without being naive of course,” says Gustafsson. “There are some people who will not or cannot change. But, in my experience, the majority of prisoners want to change, and we must do what we can to help to facilitate that. It is not always possible to achieve this in one prison sentence.”"
146,2_3_4,Ele,"One reason for the drop in prison numbers might be the amount of post-prison support available in Sweden. A government-run probation service gives treatment programs to offenders with drug, alcohol or violence problems. Around 4,500 Swedes help the service – they volunteer to make friends with and support offenders. “In Sweden, we believe very much in the idea of rehabilitation,” says Gustafsson. “Of course, there are some people who will not or cannot change. But, in my experience, most prisoners want to change and we must do what we can to help them.”"
148,2_4_1,Adv,"Such is the lot of the modern-day chemist: you wait ages for a new element to turn up and then four come along at once. Discovered by researchers in Japan, Russia and the US, the four new elements are the first to be added to the periodic table since 2011, when elements 114 and 116 were included. The new elements, all spectacularly short-lived and highly radioactive, complete the periodic table's seventh row and render science textbooks around the world out of date."
149,2_4_1,Ele,"Chemists have waited a long time to find a new element and, now, researchers in Japan, Russia and the US have discovered four. The four new elements will be added to the periodic table. They are the first elements to be added since 2011, when elements 114 and 116 were included. The new elements, all very radioactive, complete the seventh row of the periodic table."
151,2_4_2,Adv,"The US-based International Union of Pure and Applied Chemistry (IUPAC), the global organization that governs chemical nomenclature, terminology and measurement, verified the elements on 30 December, 2015 after poring over studies dating back to 2004. The scientists who found them must now come up with formal names to replace the clunky Latin- based placeholders – ununtrium, ununpentium, ununseptium and ununoctium – which reflect their atomic numbers, 113, 115, 117, and 118. The atomic number is the number of protons found in an element's atomic nucleus."
150,2_4_2,Ele,"The International Union of Pure and Applied Chemistry (IUPAC) is the global organization that controls chemical names. IUPAC confirmed the new elements on 30 December, 2015 after examining studies dating back to 2004. The scientists who found them must now think of formal names for the elements, which have the atomic numbers, 113, 115, 117, and 118. The atomic number is the number of protons in an element's atomic nucleus."
